date_added_year,listed_in,title_count,rank
2008.0,Dramas,1,1.0
2008.0,Independent Movies,1,1.0
2008.0,Stand-Up Comedy & Talk Shows,1,1.0
2008.0,Thrillers,1,1.0
2009.0,Dramas,1,1.0
2009.0,Horror Movies,1,1.0
2009.0,International Movies,1,1.0
2010.0,Cult Movies,1,1.0
2010.0,Horror Movies,1,1.0
2011.0,Children & Family Movies,1,3.0
2011.0,Dramas,13,1.0
2011.0,Faith & Spirituality,1,3.0
2011.0,International Movies,1,3.0
2011.0,Sports Movies,2,2.0
2011.0,Thrillers,1,3.0
2012.0,Children & Family Movies,1,2.0
2012.0,Comedies,2,1.0
2012.0,Documentaries,1,2.0
2013.0,Children & Family Movies,2,3.0
2013.0,Comedies,1,4.0
2013.0,Crime TV Shows,2,3.0
2013.0,Documentaries,1,4.0
2013.0,Docuseries,1,4.0
2013.0,International TV Shows,1,4.0
2013.0,Music & Musicals,1,4.0
2013.0,Sports Movies,1,4.0
2013.0,Stand-Up Comedy,4,1.0
2013.0,Stand-Up Comedy & Talk Shows,1,4.0
2013.0,TV Dramas,3,2.0
2013.0,TV Mysteries,1,4.0
2013.0,TV Sci-Fi & Fantasy,1,4.0
2013.0,TV Thrillers,1,4.0
2014.0,Action & Adventure,1,5.0
2014.0,Children & Family Movies,4,2.0
2014.0,Comedies,2,4.0
2014.0,Crime TV Shows,1,5.0
2014.0,Documentaries,8,1.0
2014.0,International Movies,2,4.0
2014.0,Kids' TV,2,4.0
2014.0,Movies,2,4.0
2014.0,Sci-Fi & Fantasy,2,4.0
2014.0,Sports Movies,1,5.0
2014.0,Stand-Up Comedy,4,2.0
2014.0,TV Comedies,2,4.0
2014.0,TV Dramas,3,3.0
2014.0,TV Thrillers,1,5.0
2015.0,British TV Shows,6,8.0
2015.0,Children & Family Movies,11,3.0
2015.0,Comedies,12,2.0
2015.0,Documentaries,13,1.0
2015.0,Docuseries,5,9.0
2015.0,Dramas,12,2.0
2015.0,Independent Movies,7,7.0
2015.0,International Movies,10,4.0
2015.0,Kids' TV,9,5.0
2015.0,Music & Musicals,6,8.0
2015.0,Stand-Up Comedy,13,1.0
2015.0,TV Comedies,8,6.0
2015.0,TV Dramas,4,10.0
2016.0,Comedies,49,5.0
2016.0,Documentaries,69,3.0
2016.0,Dramas,67,4.0
2016.0,Independent Movies,32,10.0
2016.0,International Movies,85,2.0
2016.0,International TV Shows,89,1.0
2016.0,Kids' TV,44,7.0
2016.0,Romantic TV Shows,47,6.0
2016.0,Stand-Up Comedy,39,9.0
2016.0,TV Comedies,41,8.0
2016.0,TV Dramas,41,8.0
2017.0,Action & Adventure,106,8.0
2017.0,Children & Family Movies,77,9.0
2017.0,Comedies,191,5.0
2017.0,Documentaries,206,3.0
2017.0,Dramas,297,2.0
2017.0,Independent Movies,116,7.0
2017.0,International Movies,418,1.0
2017.0,International TV Shows,198,4.0
2017.0,Romantic Movies,68,10.0
2017.0,TV Dramas,127,6.0
2017.0,Thrillers,68,10.0
2018.0,Action & Adventure,178,5.0
2018.0,Comedies,301,3.0
2018.0,Documentaries,170,6.0
2018.0,Dramas,534,2.0
2018.0,Independent Movies,159,7.0
2018.0,International Movies,677,1.0
2018.0,International TV Shows,218,4.0
2018.0,Romantic Movies,111,10.0
2018.0,TV Dramas,112,9.0
2018.0,Thrillers,116,8.0
2019.0,Action & Adventure,222,5.0
2019.0,Children & Family Movies,148,10.0
2019.0,Comedies,452,3.0
2019.0,Documentaries,189,8.0
2019.0,Dramas,595,2.0
2019.0,Independent Movies,205,6.0
2019.0,International Movies,640,1.0
2019.0,International TV Shows,355,4.0
2019.0,Romantic Movies,157,9.0
2019.0,TV Dramas,192,7.0
2020.0,Action & Adventure,176,7.0
2020.0,Children & Family Movies,171,8.0
2020.0,Comedies,424,3.0
2020.0,Dramas,547,2.0
2020.0,Independent Movies,145,10.0
2020.0,International Movies,578,1.0
2020.0,International TV Shows,306,4.0
2020.0,Romantic Movies,179,6.0
2020.0,TV Comedies,146,9.0
2020.0,TV Dramas,193,5.0
2021.0,Action & Adventure,16,4.0
2021.0,Children & Family Movies,12,5.0
2021.0,Classic Movies,5,10.0
2021.0,Comedies,37,2.0
2021.0,Documentaries,9,6.0
2021.0,Docuseries,8,7.0
2021.0,Dramas,38,1.0
2021.0,Independent Movies,8,7.0
2021.0,International Movies,24,3.0
2021.0,International TV Shows,6,9.0
2021.0,Kids' TV,7,8.0
2021.0,Romantic Movies,8,7.0
2021.0,TV Comedies,8,7.0
2021.0,TV Dramas,5,10.0
2021.0,Thrillers,8,7.0
